index,dice,iou,gt_pixels,pred_pixels
2,0.6940683722496033,0.5315893292427063,1801.0,1300.0
6,0.6386430859565735,0.4693140685558319,1384.0,649.0
7,0.6790431141853333,0.5141456127166748,2650.0,1362.0
30,0.5231548547744751,0.35455435514450073,1020.0,361.0
44,0.6628873944282532,0.49604520201683044,881.0,441.0
50,0.6978667974472046,0.5360962748527527,1408.0,888.0
60,0.6227786540985107,0.4525205194950104,442.0,795.0
68,0.5102404356002808,0.34262949228286743,902.0,2466.0
92,0.6114928126335144,0.4406474828720093,1073.0,527.0
123,0.6897233128547668,0.5271084308624268,196.0,309.0
129,0.6941008567810059,0.5316824316978455,869.0,1232.0
135,0.6438127160072327,0.4753694534301758,201.0,396.0
136,0.5363805890083313,0.36661002039909363,1972.0,1243.0
139,0.6053423881530762,0.4341963231563568,1595.0,1062.0
144,0.5580204725265503,0.3872239887714386,1192.0,565.0
162,0.5569705367088318,0.3862581253051758,927.0,564.0
172,0.5508221387863159,0.38041236996650696,417.0,920.0
178,0.6606321930885315,0.4933505058288574,2243.0,1236.0
202,0.6500843167304993,0.48189762234687805,520.0,665.0
204,0.5559954643249512,0.38527798652648926,890.0,877.0
214,0.6004955172538757,0.4292035400867462,2206.0,1022.0
240,0.5793470144271851,0.40811964869499207,721.0,595.0
341,0.5408653616905212,0.3708827495574951,1481.0,598.0
369,0.5429403185844421,0.3732534945011139,470.0,216.0
384,0.5964832901954651,0.42517662048339844,795.0,1422.0
433,0.6285178065299988,0.45842450857162476,1807.0,857.0
450,0.6363636255264282,0.4672304391860962,326.0,366.0
471,0.5763157606124878,0.40590405464172363,169.0,210.0
481,0.6747759580612183,0.5096524953842163,517.0,263.0
493,0.6547144651412964,0.4871794879436493,264.0,488.0
505,0.576603353023529,0.40533778071403503,490.0,1193.0
533,0.5483871102333069,0.37974682450294495,152.0,64.0
545,0.6034570336341858,0.432314395904541,664.0,1302.0
556,0.6995708346366882,0.5384615659713745,295.0,403.0
558,0.6786611080169678,0.5139240622520447,425.0,769.0
563,0.6450498700141907,0.47621744871139526,1265.0,1340.0
572,0.6491400599479675,0.48072728514671326,1330.0,704.0
587,0.6938986778259277,0.5316455960273743,631.0,335.0
609,0.5892857313156128,0.4178659915924072,2000.0,855.0
611,0.6189427375793457,0.44845908880233765,477.0,884.0
612,0.6118143200874329,0.44084277749061584,2302.0,1252.0
619,0.5106215476989746,0.3431890308856964,621.0,649.0
644,0.6170446276664734,0.4463247060775757,1857.0,876.0
664,0.5245829820632935,0.35574063658714294,603.0,1674.0
669,0.5556192398071289,0.3849206268787384,1204.0,539.0
707,0.6843220591545105,0.520900309085846,310.0,161.0
729,0.636648416519165,0.46727898716926575,440.0,836.0
740,0.623106062412262,0.4532966911792755,206.0,321.0
746,0.5322338938713074,0.3632653057575226,177.0,489.0
747,0.6246733069419861,0.45440730452537537,809.0,1103.0
754,0.680672287940979,0.5169491767883301,181.0,175.0
774,0.5644979476928711,0.3933996856212616,768.0,1890.0
784,0.5546900629997253,0.38392457365989685,1821.0,1259.0
786,0.6401920914649963,0.4709396958351135,1719.0,987.0
800,0.6856959462165833,0.5219511985778809,1017.0,541.0
802,0.5320855379104614,0.3636363744735718,99.0,274.0
804,0.6318785548210144,0.46210721135139465,1059.0,521.0
805,0.6223506927490234,0.4525139629840851,191.0,327.0
843,0.5765519738197327,0.4051150977611542,2783.0,2709.0
868,0.6501097679138184,0.48170730471611023,1451.0,2192.0
883,0.6851223111152649,0.5211777091026306,1678.0,1265.0
888,0.6499999761581421,0.48180678486824036,393.0,786.0
906,0.644444465637207,0.4761904776096344,159.0,335.0
908,0.6962617039680481,0.5343839526176453,373.0,696.0
913,0.6616801023483276,0.49484536051750183,416.0,452.0
917,0.6272905468940735,0.4571020007133484,1386.0,1669.0
940,0.5439591407775879,0.37383177876472473,506.0,1256.0
978,0.510647177696228,0.3430493175983429,1776.0,618.0
980,0.6064581274986267,0.4356005787849426,301.0,689.0
993,0.6960235834121704,0.5338753461837769,2212.0,1182.0
1029,0.534168541431427,0.36490681767463684,643.0,234.0
1047,0.5717930197715759,0.40051019191741943,1264.0,1479.0
1097,0.5249810814857483,0.3560800552368164,1347.0,1294.0
1104,0.6698939800262451,0.5038114786148071,992.0,1176.0
1106,0.5912547707557678,0.42048516869544983,228.0,297.0
1114,0.6391350626945496,0.4697916805744171,1301.0,1519.0
1115,0.6998993158340454,0.5386996865272522,644.0,348.0
1128,0.6034350991249084,0.43224042654037476,1214.0,1405.0
1132,0.5585679411888123,0.38765668869018555,1987.0,889.0
1142,0.6841074228286743,0.5199829936027527,2158.0,1415.0
1158,0.5355113744735718,0.36627906560897827,188.0,515.0
1185,0.644444465637207,0.4757536053657532,676.0,448.0
1219,0.6019202470779419,0.43083420395851135,946.0,407.0
1271,0.6517754793167114,0.4838709533214569,588.0,284.0
1323,0.6656591296195984,0.498954713344574,2781.0,1519.0
1341,0.5788546204566956,0.40768277645111084,345.0,789.0
1367,0.6945434808731079,0.5320950746536255,3343.0,2264.0
1370,0.5022740364074707,0.3354838788509369,2092.0,1425.0
1374,0.6708046197891235,0.5048409700393677,1331.0,843.0
1437,0.6486842036247253,0.4805447459220886,253.0,506.0
1512,0.611137330532074,0.44021740555763245,647.0,1471.0
1516,0.5007052421569824,0.3345864713191986,213.0,495.0
1517,0.6867862939834595,0.5231788158416748,825.0,1013.0
1526,0.6795580387115479,0.5166666507720947,119.0,61.0
